그럼 떡볶이 1인분과 순대 1인분 주세요	자리에 앉아서 기다려주세요
딸기라떼에는 뭐가 들어있어요?	딸기라떼는 생과일 딸기에 우유 넣은거에요
따뜻한 물 없어요?	조금 미지근한 물만 있어요
우유 어디 있어요?	우유 저쪽에 보시면 있어요
북구청 쪽으로도 배달이 돼요?	한두 그릇은 안 가요
여기 술빵이랑 무지개떡 파나요	둘 다 팝니다
그럼 짜장면 세 개랑 탕수육 소자 하나 주세요	그러면 조그만 기다려 주세요
오늘의 추천 메뉴는 뭔가요?	오늘의 추천 메뉴는 오징어먹물리조또 입니다
여기 배달도 많이 시켜먹어요?	거의 배달이에요
라지 한판에 몇 조각 나와예?	10조각 나옵니다
러스크 종류가 어디 있어요?	러스크는 위에 있어요
접대하려고 하는데 괜찮은 코스요리가 있나요	3가지 코스가 준비되어있습니다
다른 거 필요한 건 없으신가요?	번호 눌러주세요
김밥 사이즈가 좀 굵은 편인가요?	아니오 딱 보통이에요
금귤은 얼마인데요?	금귤은 한 소쿠리 오천 원이요
네 카페라떼 컵 사이즈는 뭘로 드릴까요?	카페라떼 제일 큰 사이즈로 주세요
테이크아웃하면 싸나요?	테이크아웃은 아메리카노만 할인됩니다
혹시 저희 등산 갈 일 있어가지고 주문 좀 할라카면 언제쯤 연락을 드리면 되는지?	하루 전에 해주시면 좋죠
그 저 여기 양념 된 거 하고 안된 거 하고 프라이드는 얼마에요?	프라이드는 18000원, 양념은 19500원이요
쌀도 우리나라 쌀이 아닌 거 같아요	쌀은 국산이 맞고요 조금 질게 한 거예요
라테는 얼마에요?	5500원입니다
하신지 오래되셨죠?	오래됐어요
매운 짬뽕 포장요?	아뇨 먹고 갈 거거든요
양념게장 얼마에요?	한통에 만원입니다.
그러면 메뉴는 어떤 걸로 하면 될까요?	지금 배달의 민족 들어가셔서 사천성 메뉴 보시고 결정해주시면 될 거 같아요
배달 시간은 얼마나 걸리나요?	현재 30분정도 예상됩니다.
맥도날드에 1999버건가 그런 종류는 없어요?	그런 건 없어요
내일까지 가능하나요?	음 내일은 힘들 거 같아요
네 할인이나 적립은 안 하세요?	적립 안 하고 포인트 사용할게요
찹쌀떡은 얼마예요?	찹살떡은 2천 원이에요.
슈 케이크 얼마에요?	슈 케이크는 이천 원입니다
소고기 어느 부위 추천하세요?	소고기는 꽃등심을 추천해요
네, 다른 사이드 메뉴는 없나요?	저희는 음료만 있어요
아카시아꿀은 얼마예요?	2500원이요
화이트모카는 어떤 거예요?	화이트모카는 하얀 초콜릿이 들어간 음료입니다
늦게 퇴근을 해서 평소에 못 오는데 전화로도 주문이 가능한가요?	전화주문도 가능하세요.
바닐라라테를 두유로 바꿔서 만들어주세요	알겠습니다
생크림 케이크 다른 사이즈 있나요?	생크림은 지금 1호만 남아있어요
인절미는 얼마에요?	인절미도 한 묶음에 삼천 원이고 3묶음 사시면 5천 원에 드려요
어디에 있죠?	이쪽에요
이게 제일 큰 사이즈에요?	제일 큰 게 벤티 사이즈고, 한 단계 아래 사이즈는 레귤러입니다
슈프림요 근데 이게 느끼하지는 않나요?	약간 느끼한 맛도 있어요
한 개 얼만데요?	만 삼천 원이에요.
그럼 어묵도 2개 같이 주세요	그럴게요
두 개요	중화 비빔밥 2개요
그러면 가격이 얼마나 지불해야 돼요?	가격은 600원 정도 더 내세요
예약 했는데요	2번방으로 가시면 됩니다
뭐가 제일 맛있어요?	다 맛있어요
소시지볶음 있을까요?	여기 있어요
둘 중 골라서 살 수 있을까요?	구분해서 판매하고 있어요
귤 혹시 배달 가능한가요?	배달 가능해요.
김밥 한줄 얼마 인가요?	일반 김밥은 1500원이고, 종류에 따라 가격이 달라요.
한 줄만 포장해주세요	손님 새우덴뿌라 나왔습니다
채끝살이 맛이 있다고는 하던데 선물로 많이 해가요?	채끝살은 마블링이 많이 안 피어서 사실 선물용으로 크게 잘 나가진 않아요
아이스커피 중에서는 어떤 게 잘 나가요?	아이스 아메리카노가 가장 잘 나갑니다
혹시 요리도 돼요?	요리종류도 다 됩니다
이건 젓갈이죠? 꼬막인가?	낙지 젓갈이에요
세트는 아무거나 2개 사면 되는건가요?	이 중에서 하나 고르시면 돼요
사과 5개는 얼마인가요?	사과 5개 한 봉지에 5000원이에요
돼지갈비가 냉동이네요?	돼지갈비 냉장도 있어요
네 아이스로 하나 주세요	5800원입니다
카드 결제할게요	결제 도와드리겠습니다
네 그럼 매화 코스로 4인분 준비해 주세요	곧 준비해 올리겠습니다
1인 한 그릇도 배달해줘요?	안돼요
골드에서 VIP가 되려면 얼마나 먹어야지 그렇게 돼요	단계별로 쿠폰을 몇 개 더 적립해야 되는지 나오는데 그걸로 확인할 수 있어요
배달 가능한가요?	배달해드려요.
디카페인은 카페인이 없는 거예요?	디카페인은 카페인이 절반 정도 들어간 거예요
얼마나 더해지나요?	5천원정도 추가돼요
커팅 된 거 하나만 포장해주세요	깜빠뉴 반 개, 포장해 드릴게요
토핑은 야채나 이런 것들은 어떤 게 올려져 있나요?	양파나 여러가지 기본 야채 브로콜리 그런게 다 들어갑니다
안에 고추장 들었어요?	들었습니다
네 A세트에 해물볶음밥 음료 한잔 오렌지에이드 변경 맞으신가요?	감사합니다
여기 안 바쁜 시간이 언제예요?	2시 이후로 오면 많이 안 바빠요
커피는 안들어가죠?	커피는 안들어갑니다
고기류 반찬이 지금 안 보이네요?	오전엔 어쩔 수가 없어요
사장님, 떡볶이떡 있어요?	떡볶이떡은 없어요
그럼 서울대학교 병원 1층 안내센터로 배달 가능한가요?	가능합니다
2단으로?	3단이에요.
티렉스 저게 약간 매콤한가요?	매콤한 건 크리스피버거에요
네, 반찬은 셀프인가요?	그렇습니다.
음료는 필요치 않으십니까?	스프라이트 2잔 부탁할께요
곰탕은 주문하면 끓여주세요?	곰탕 주문하시면 끓여드리죠
이거 냉동해뒀다 먹어도 되죠?	먹기 전에 물에 불려놓으면 돼요
캔에 하면 가격은?	캔에 담아도 가격은 똑같습니다
적립할 때 여러 명이 오면 어떻게 하나요?	잔 수에 따라 찍어드립니다
앞다리살 한 근 얼마인가요?	한 근에 10000원입니다
콜라 말고 사이다로 주세요	그럼 사이다로 바꿔서 드리겠습니다
베이비체어 있나요?	유아용의자가 마련되어 있습니다
몇 분 드시나요?	한 네 사람 정도요
카드도 돼요?	가능합니다
뭐가 더 맛있나요?	아오리 사과가 당도가 더 높게 나왔어요.
빅맥세트 얼마에요?	6300원입니다
물티슈도 4개만 가져다 주세요	곧 가져다 드리겠습니다
콜라 하나만 주세요	알겠습니다
새우를 이렇게 그냥 찍어 먹으면 돼요?	이거 간장하고 찍어 드세요
인원이 몇 분인가요?	30명입니다
중간 크기로 한소쿠리 주세요	5000원 입니다
아메리카노 하나 주세요	레귤러 라지 맥스 사이즈 있습니다
죄송한데 얼마나 기다리면 되나요?	이제 다 됐어요
음료 사이즈는 뭐 뭐 있나요?	레귤러와 라지가 있습니다
오픈은 몇 시에 해요?	열두 시에요
모임 예약하려면 며칠 전에 하면 되나요?	하루 전에 연락 주시면 돼요
만 원치 드리면 될까요?	오천 원치만 주세요
여기 계산이요	치아버터2개 랑 소보로 앙버터 3개해서 총 16000원 입니다
네 수고하십니다 저 죄송하지만 배달은 2인분 이상 가능하죠?	주문 단위가 인분이 아니고 저희는 한 마리요
할인되는 카드가 어떤게 있나요?	통신사 카드 할인됩니다
혹시 가게 쿠폰이 있나요?	도장 열개를 모으시면 5000원 할인해드려요
불고기 거리라면 부위는 어떤 거 주시나요?	주로 뒷다리 부드러운 쪽으로 주지요
오늘은 이것만 계산할게요	만 이천 원입니다
요즘 이런 떡 하는데 얼마나 들어요?	한 되에 만이천 원이에요
오늘은 할인 안 해요? 몇 개 묶어서	요즘은 거의 할인 안 해요
등심으로 주세요	등심 한 근에 5000원이에요
블랙라벨이 무슨 뜻이있어요?	맛있다는 뜻이죠
화장실 어디 있어요?	나가서 오른쪽 가시면 있어요
묶으면 한 개씩 내 줄 수 없죠	아니요. 묶으면 3500원이니까 그게 계산해서 낱개로 포장이 되는 거예요
라테 한 잔 얼마에요?	5000원입니다
돼지고기, 어떤 게 맛있어요?	돼지고기는 다 맛있어요
돈가스는 만들어 놓은 건 안파세요?	만들어 놓은 것도 팔아요
후라이드 반 양념 반 되나요?	물론 가능합니다.
호박인절미도 있나요?	제일 잘 팔려요
카드 계산돼요?	주세요
머그컵에 드려도 괜찮을까요?	허니브레드 때문에 10분 정도 걸리세요
커피 주문했는데 생각보다 오래 걸리네요	죄송합니다 지금 많이 바빠서 그렇습니다
얼마나 드릴까요?	한 두 근 정도 주세요
생신인데 인절미 몇 되 정도 하면 되나요?	서너 되 하면 될 것 같아요.
이 고기는 몇 등급이에요?	일등급이에요
몇 분 정도 기다릴까요?	십 분 이내에요
적립카드나 그런 건 있어요?	현재 포인트 카드가 일시적으로 안되는 걸로 알고 있어요
여기 메뉴판 보시고 주문해주세요	사군자로 6인 주세요
여기 반찬 한 개씩 더 주세요 기본 반찬	가져다드릴게요
얼마 할인 되는거죠?	원래 4500원인데 3000원으로 할인되는거에요
샷 추가가 따로 있네요?	샷 추가 가능합니다
저기 주문은 기계로 밖에 안돼요?	여기서 도와드릴게요
네 간짜장은 없는가봐요?	간짜장은 없어요
5킬로짜리 좋은 걸로 선물 포장해 주세요.	포장할 동안 잠시만 기다려주세요.
맛있는 냄새가 나는데 지금 빵이 나왔어요?	갓 구운 빵이 나왔어요
카드 결제 가능할까요?	.
이 반찬은 뭔가요?	메추리알 장조림입니다
콩나물은 얼마예요?	콩나물은 한 봉지에 천 원이에요
파인애플도 넣을까요?	그럼 잘 나가는 과일 위주로 담아 드릴게요
항아리 네모 치즈 돈가스는?	치즈 돈가스인데 조그마한 게 두 개가 나가요
마약빵 직접 만들어 나왔나봐요 방금?	다 직접 만들어요.
화이트 카페모카는 많이 달아요?	휘핑크림하고 화이트 초코가 들어가요
바닐라 라테에 휘핑 올려드릴까요?	올려주세요
처음오시는거면, 쿠폰 찍어 드릴까요?	10개 다모아오시면 커피한잔 드려요.
원하시는 날짜가 있습니까?	다음 달 둘째 주 토요일에 맞춰주세요
왜 타이거 밀크티에요?	저희가 슈가를 둘러드리는데 이게 나중에 호랑이 무늬처럼 흘러내려서 그렇습니다
화장실 어디 있어요?	안쪽에 들어가서 오른쪽에 있어요
한우 어느 부위에요?	목심이에요
여기 배달도 되나요?	배달은 안 해요
미디움 레어로 가능할까요?	가능합니다
자몽티 따뜻한 거 얼마에요?	자몽 티는 삼천 오백 원입니다
네, 다른 건 필요 없으세요?	거스름돈 드릴게요
드시고 가실 건가요?	5000원입니다
브이적힌 건 뭡니까?	브이는 벤티사이즈이고 알은 레귤러, 작은 사이즈입니다
저 베이글은 뭐 발라서 주는거에요?	베이글은 플레인맛이랑 어니언맛 있습니다
케이크는 가격이 어떻게 되나요?	케이크 가격은 크기에 따라 달라요
이 떡은 얼마예요?	이 떡은 이천원이에요
찰토마토 두 박스 주세요.	찰토마토 두 박스 여기 드릴께요.
위치가 어디신데요?	멀지는 않아요. 이 근처에요
유치원생 아이들이 먹을 수 있는 햄버거 추천해 주세요	쥬니어햄버거가 양이 좀 적어요
아이스도 똑같은가요?	똑같습니다
영업 중이신가요?	10시부터 오픈입니다
저희 남편은 갈비찜보다 구워 먹는게 낫다고 하던데, 뭐가 더 나아요?	구워먹는 거 보다는 찜 하시는 게 나을 거 같아요
결제는 한 번에 해도 되나요?	결제 도와드릴게요
